Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
"10","'036","Australia","221","'01371","Almonds, in shell","152","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",,,,,,,,,,,,,,,,,,,,"17696.000000","16432.000000","17443.000000","18202.000000","18708.000000","20224.000000","24775.000000","22752.000000","24775.000000","25280.000000","25280.000000","45505.000000","48033.000000","50561.000000","55617.000000","63201.000000","65729.000000","75841.000000","88481.000000","91010.000000","106178.000000","101627.000000","104155.000000","112245.000000","127919.000000","179997.000000","176963.000000","295781.000000","290219.000000","406509.000000","435329.000000","419149.000000","552124.000000","817063.000000","770901.000000","785210.000000","883096.000000","940331.000000","874703.000000","1071890.000000","1304470.000000","1597723.000000","1845471.000000","1314582.000000"
"10","'036","Australia","221","'01371","Almonds, in shell","56","Gross Production Value (current thousand SLC)","1000 SLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43542.000000","47044.000000","51570.000000","71170.000000","70875.000000","103480.000000","99600.000000","110075.000000","93060.000000","95340.000000","87033.000000","90846.000000","123210.000000","155342.000000","232112.000000","294350.000000","418860.000000",,"397176.000000",,"411101.000000","456456.000000","896557.000000","942417.000000","1263210.000000","1678308.000000","1272661.000000","1100626.000000","1583640.000000","1836692.000000","1546270.000000","2115624.000000","1316335.000000"
"10","'036","Australia","221","'01371","Almonds, in shell","55","Gross Production Value (constant 2014-2016 thousand SLC)","1000 SLC",,,,,,,,,,,,,,,,,,,,"27911.000000","25918.000000","27513.000000","28709.000000","29506.000000","31899.000000","39076.000000","35886.000000","39076.000000","39873.000000","39873.000000","71772.000000","75759.000000","79747.000000","87721.000000","99683.000000","103671.000000","119620.000000","139557.000000","143544.000000","167468.000000","160291.000000","164278.000000","177038.000000","201759.000000","283898.000000","279113.000000","466518.000000","457746.000000","641163.000000","686619.000000","661100.000000","870834.000000","1288706.000000","1215897.000000","1238466.000000","1392855.000000","1483129.000000","1379617.000000","1690629.000000","2057464.000000","2519995.000000","2910753.000000","2073413.000000"
"10","'036","Australia","221","'01371","Almonds, in shell","57","Gross Production Value (current thousand US$)","1000 USD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33918.000000","34549.000000","35068.000000","52034.000000","52538.000000","80979.000000","73921.000000","69150.000000","60041.000000","55275.000000","45015.000000","49358.000000","79907.000000","114243.000000","177256.000000","221654.000000","350489.000000",,"309764.000000",,"424050.000000","472619.000000","865533.000000","849512.000000","949004.000000","1247614.000000","975400.000000","822337.000000","1100892.000000","1263995.000000","1161540.000000","1467487.000000","874530.000000"
"10","'036","Australia","221","'01371","Almonds, in shell","58","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",,,,,,,,,,,,,,,,,,,,"21963.000000","20394.000000","21649.000000","22591.000000","23218.000000","25101.000000","30748.000000","28238.000000","30748.000000","31376.000000","31376.000000","56477.000000","59614.000000","62752.000000","69027.000000","78440.000000","81577.000000","94128.000000","109816.000000","112953.000000","131779.000000","126131.000000","129269.000000","139309.000000","158762.000000","223396.000000","219631.000000","367098.000000","360195.000000","504525.000000","540293.000000","520213.000000","685250.000000","1014069.000000","956777.000000","974536.000000","1096023.000000","1167058.000000","1085606.000000","1330339.000000","1618997.000000","1982958.000000","2290441.000000","1631547.000000"
"10","'036","Australia","711","'01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","152","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",,,,,,,,,,,,,,,,,,,,,,,"220.000000","159.000000","198.000000","5001.000000","4906.000000","6279.000000","8018.000000","2902.000000","5488.000000","6968.000000","8210.000000","5438.000000","3789.000000","2526.000000","5521.000000","7816.000000","6677.000000","1300.000000","746.000000","72.000000","246.000000","869.000000","1241.000000","2584.000000","111.000000","4545.000000","2145.000000","1761.000000","2259.000000","2535.000000","2610.000000","2491.000000","2495.000000","2532.000000","2506.000000","2420.000000","2486.000000","2515.000000","2473.000000","2491.000000","2493.000000"
"10","'036","Australia","711","'01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","56","Gross Production Value (current thousand SLC)","1000 SLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2402.000000","87.000000","3827.000000","1786.000000",,"2495.000000",,,,,,,,,,,,"3298.000000"
"10","'036","Australia","711","'01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","55","Gross Production Value (constant 2014-2016 thousand SLC)","1000 SLC",,,,,,,,,,,,,,,,,,,,,,,"273.000000","197.000000","246.000000","6219.000000","6100.000000","7808.000000","9970.000000","3608.000000","6824.000000","8664.000000","10208.000000","6762.000000","4711.000000","3140.000000","6864.000000","9718.000000","8302.000000","1616.000000","927.000000","89.000000","305.000000","1081.000000","1543.000000","3213.000000","138.000000","5651.000000","2667.000000","2190.000000","2809.000000","3152.000000","3245.000000","3097.000000","3102.000000","3148.000000","3116.000000","3008.000000","3091.000000","3127.000000","3075.000000","3097.000000","3100.000000"
"10","'036","Australia","711","'01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","57","Gross Production Value (current thousand US$)","1000 USD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1809.000000","73.000000","3210.000000","1393.000000",,"2573.000000",,,,,,,,,,,,"2191.000000"
"10","'036","Australia","711","'01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","58","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",,,,,,,,,,,,,,,,,,,,,,,"217.000000","157.000000","195.000000","4941.000000","4846.000000","6203.000000","7921.000000","2867.000000","5422.000000","6884.000000","8110.000000","5372.000000","3743.000000","2495.000000","5454.000000","7721.000000","6596.000000","1284.000000","737.000000","71.000000","243.000000","859.000000","1226.000000","2553.000000","110.000000","4490.000000","2119.000000","1740.000000","2232.000000","2504.000000","2578.000000","2461.000000","2464.000000","2501.000000","2475.000000","2390.000000","2456.000000","2484.000000","2443.000000","2461.000000","2463.000000"
